r c s rx di
-----------
0 0 0 1 00000000
0 1 0 1 00000000
0 0 0 1 00000000
0 1 0 1 00000000
1 0 0 1 01101001
1 1 0 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 1 1 01101001
1 1 1 1 01101001
1 0 0 0 01101001
1 1 0 0 01101001
1 0 0 1 01101001
1 1 0 1 01101001
1 0 0 0 01101001
1 1 0 0 01101001
1 0 0 0 01101001
1 1 0 0 01101001
1 0 0 0 01101001
1 1 0 0 01101001
1 0 0 1 01101001
1 1 0 1 01101001
1 0 0 1 01101001
1 1 0 1 01101001
1 0 0 0 01101001
1 1 0 0 01101001
1 0 0 1 01101001
1 1 0 1 01101001
1 0 0 1 01101001
1 1 0 1 01101001
1 0 0 1 01101001
1 1 0 1 01101001
